q_id,topic_id,question_text,option_A,option_B,option_C,option_D,correct_option,difficulty,source
K6C1_01,k6_c1_thong_tin_tren_web,Website là gì?,Một tệp văn bản,Ứng dụng di động,Tập hợp các trang web (web pages) có liên quan và cùng chung một địa chỉ,Ổ đĩa máy tính,C,Nhận biết,Chủ đề C – Bài 1
K6C1_02,k6_c1_thong_tin_tren_web,Địa chỉ website thường có đặc điểm nào?,Chỉ là số điện thoại,Chứa phần cố định của website và phần đuôi thay đổi theo từng trang,Chỉ là đường dẫn ảnh,Chỉ có ký tự số,B,Nhận biết,Chủ đề C – Bài 1
K6C1_03,k6_c1_thong_tin_tren_web,Trang web có thể dài hơn một màn hình hiển thị. Muốn xem phần dưới ta làm gì?,Phóng to ảnh,Cuộn (scroll) trang,Đổi trình duyệt,Đổi máy,B,Nhận biết,Chủ đề C – Bài 1
K6C1_04,k6_c1_thong_tin_tren_web,Siêu liên kết (hyperlink) giúp ta làm gì?,Chỉnh màu nền,Di chuyển đến vị trí/ trang khác liên quan,Phát nhạc,Tắt máy,B,Nhận biết,Chủ đề C – Bài 1
K6C1_05,k6_c1_thong_tin_tren_web,Dấu hiệu thường thấy khi trỏ chuột vào siêu liên kết là gì?,Chuột rung,Biểu tượng bàn tay xuất hiện,Âm thanh phát ra,Màn hình tắt,B,Nhận biết,Chủ đề C – Bài 1
K6C1_06,k6_c1_thong_tin_tren_web,Siêu văn bản là gì?,Đoạn văn bản/ hình ảnh chứa siêu liên kết,Ảnh nền,Video quảng cáo,Chỉ là văn bản thuần,A,Nhận biết,Chủ đề C – Bài 1
K6C1_07,k6_c1_thong_tin_tren_web,Phát biểu đúng về mục đích xây dựng website:,Chỉ để giải trí,Tồn tại để cá nhân/ tổ chức đưa thông tin, phục vụ chủ đề/ lĩnh vực nhất định,Chỉ dành cho người lớn,Chỉ đăng hình ảnh,B,Thông hiểu,Chủ đề C – Bài 1
K6C1_08,k6_c1_thong_tin_tren_web,Vì sao trang chủ và các trang con có địa chỉ khác nhau nhưng vẫn cùng một website?,Do phần cố định địa chỉ giữ nguyên, phần sau thay đổi theo trang,Do khác nhà cung cấp,Do khác phông chữ,Do khác màu nền,A,Thông hiểu,Chủ đề C – Bài 1
K6C1_09,k6_c1_thong_tin_tren_web,Khi duyệt trang tin, học sinh nên chú ý điều nào sau đây?,Chỉ nhìn tiêu đề,Quan sát bố cục, mục, liên kết để định vị thông tin,Không đọc nội dung,Chỉ xem ảnh,B,Thông hiểu,Chủ đề C – Bài 1
K6C1_10,k6_c1_thong_tin_tren_web,Nhận định nào đúng về nội dung trên website?,Không bao giờ đổi,Nội dung có thể thay đổi theo thời gian do cập nhật,Luôn sai,Luôn có phí,B,Thông hiểu,Chủ đề C – Bài 1
K6C1_11,k6_c1_thong_tin_tren_web,Bạn cần mở mục “Học trò 360” trên một báo điện tử. Thao tác phù hợp là:,In trang,Cuộn tìm mục rồi nhấp vào siêu liên kết mục đó,Tắt trình duyệt,Đổi ngôn ngữ,B,Vận dụng,Chủ đề C – Bài 1
K6C1_12,k6_c1_thong_tin_tren_web,Để ghi lại thông tin quan trọng trên web cho bài học, cách hợp lí là:,Chỉ nhớ trong đầu,Chụp màn hình/ ghi chú đường dẫn để xem lại,Đóng máy ngay,Lưu tùy ý vào thư rác,B,Vận dụng,Chủ đề C – Bài 1
K6C2_01,k6_c2_www_trinh_duyet,WWW (World Wide Web) là gì?,Một phần mềm,Chuỗi ký tự, Hệ thống các website liên kết với nhau trên Internet,Bộ nhớ máy,C,Nhận biết,Chủ đề C – Bài 2
K6C2_02,k6_c2_www_trinh_duyet,Trình duyệt web là:,Phần mềm ứng dụng để truy cập và xem nội dung website,Thiết bị phần cứng,Bảng tính,Trò chơi,A,Nhận biết,Chủ đề C – Bài 2
K6C2_03,k6_c2_www_trinh_duyet,Thanh nào để nhập địa chỉ trang web?,Thanh công cụ,Thanh cuộn,Ô địa chỉ (address bar),Thanh trạng thái,C,Nhận biết,Chủ đề C – Bài 2
K6C2_04,k6_c2_www_trinh_duyet,Trình duyệt phổ biến gồm:,Chrome, Firefox, Cốc Cốc, Safari,Word, Excel,Paint,Notepad,A,Nhận biết,Chủ đề C – Bài 2
K6C2_05,k6_c2_www_trinh_duyet,Khi truy cập https, ý nghĩa quan trọng là:,Trang sẽ tối màu,Mã hóa kênh truyền giúp an toàn hơn,Không tải được ảnh,Tự động đăng nhập,B,Nhận biết,Chủ đề C – Bài 2
K6C2_06,k6_c2_www_trinh_duyet,Dịch vụ nào dưới đây thường khai thác trên web?,Tra từ điển, xem thời tiết, tin thời sự,Chơi cờ thật,In ấn phần cứng,Lắp mạng,A,Nhận biết,Chủ đề C – Bài 2
K6C2_07,k6_c2_www_trinh_duyet,Sự khác nhau giữa www và trình duyệt là:,Giống nhau,www là hệ thống website; trình duyệt là phần mềm để truy cập web,www là phần mềm; trình duyệt là website,www chỉ là địa chỉ nhà,B,Thông hiểu,Chủ đề C – Bài 2
K6C2_08,k6_c2_www_trinh_duyet,Chuỗi thao tác đúng để mở một trang web là:,Mở Word → gõ URL,Mở trình duyệt → nhập địa chỉ → Enter,Mở Paint → nhập địa chỉ,Mở File Explorer → nhập địa chỉ,B,Thông hiểu,Chủ đề C – Bài 2
K6C2_09,k6_c2_www_trinh_duyet,Vì sao WWW giúp tìm kiếm/ chia sẻ kiến thức thuận lợi?,Vì chứa trò chơi,Do liên kết giữa các trang/ website cho phép điều hướng dễ dàng,Do có nhiều phím tắt,Do bắt buộc phải đăng ký,B,Thông hiểu,Chủ đề C – Bài 2
K6C2_10,k6_c2_www_trinh_duyet,Để xem tin thời tiết từ nguồn tin cậy, thao tác hợp lí là:,Gõ từ khóa mơ hồ,Truy cập website chính thống/ dùng trình duyệt nhập URL chuẩn,Tải tệp lạ bất kỳ,Nhấp quảng cáo,C,Thông hiểu,Chủ đề C – Bài 2
K6C2_11,k6_c2_www_trinh_duyet,Bạn muốn tra nghĩa từ tiếng Anh trên web:,Mở trình duyệt → vào trang từ điển uy tín → nhập từ khóa → xem kết quả,Nhập vào ứng dụng Paint,Chụp màn hình,Chỉ hỏi bạn bè,A,Vận dụng,Chủ đề C – Bài 2
K6C2_12,k6_c2_www_trinh_duyet,Bạn mở một website lạ, trình duyệt cảnh báo “không an toàn”. Nên:,Tiếp tục nhập mật khẩu,Đóng trang/ kiểm tra đường dẫn https/ chọn nguồn tin cậy,Chia sẻ link,Nhập email vào mọi ô,B,Vận dụng,Chủ đề C – Bài 2
K6C3_01,k6_c3_may_tim_kiem,Máy tìm kiếm (search engine) là gì?,Một trang web đặc biệt cho phép tìm thông tin trên WWW,Trình chỉnh ảnh,Máy in,Mạng LAN,A,Nhận biết,Chủ đề C – Bài 3
K6C3_02,k6_c3_may_tim_kiem,Ví dụ về máy tìm kiếm:,Google, Cốc Cốc, Yahoo,Bluetooth, HDMI, VGA,Excel, PowerPoint,Word, Paint,A,Nhận biết,Chủ đề C – Bài 3
K6C3_03,k6_c3_may_tim_kiem,Từ khóa (keyword) là gì?,Tên người dùng,Chuỗi mô tả nội dung cần tìm,Tên tệp ảnh,Mật khẩu,B,Nhận biết,Chủ đề C – Bài 3
K6C3_04,k6_c3_may_tim_kiem,Nơi nhập từ khóa trên trang máy tìm kiếm là:,Thanh địa chỉ trình duyệt,Ô tìm kiếm của máy tìm kiếm,Trên màn hình nền,Trong ứng dụng vẽ,B,Nhận biết,Chủ đề C – Bài 3
K6C3_05,k6_c3_may_tim_kiem,Cú pháp nào giúp tìm **chính xác cụm từ**?,Dùng dấu ngoặc kép “...”,Dấu phẩy,Dấu hỏi,Dấu chấm than,A,Nhận biết,Chủ đề C – Bài 3
K6C3_06,k6_c3_may_tim_kiem,Bước KHÔNG thuộc quy trình tìm kiếm cơ bản:,Mở trình duyệt,Nhập địa chỉ máy tìm kiếm,Nhập từ khóa,Định dạng ổ đĩa,D,Nhận biết,Chủ đề C – Bài 3
K6C3_07,k6_c3_may_tim_kiem,Vì sao cần chọn từ khóa phù hợp?,Để đẹp mắt,Để kết quả sát mục tiêu, tiết kiệm thời gian,Để có nhiều ảnh hơn,Để làm máy nhanh hơn,B,Thông hiểu,Chủ đề C – Bài 3
K6C3_08,k6_c3_may_tim_kiem,Khi quá nhiều kết quả, nên làm gì?,Dùng từ khóa cụ thể/ thêm cụm trong ngoặc kép/ bổ sung điều kiện,Chọn bừa trang đầu,Nhập từ khóa ngẫu nhiên,Chỉ xem hình ảnh,A,Thông hiểu,Chủ đề C – Bài 3
K6C3_09,k6_c3_may_tim_kiem,Nhập từ khóa bằng giọng nói có ưu điểm gì?,Không cần mạng,Nhanh và tiện trên thiết bị di động,Tự động viết báo cáo,Tự động tải video,B,Thông hiểu,Chủ đề C – Bài 3
