q_id,topic_id,question_text,option_A,option_B,option_C,option_D,correct_option,difficulty,source
K6B1_01,k6_b1_khai_niem_loi_ich,Mạng máy tính là gì?,Một phần mềm soạn thảo,Một nhóm các máy tính/thiết bị kết nối để truyền dữ liệu cho nhau,Một trang web,Một loại cáp mạng,B,Nhận biết,Chủ đề B – Bài 1
K6B1_02,k6_b1_khai_niem_loi_ich,Lợi ích CHUNG của mạng máy tính là gì?,Tăng kích thước tệp,Chia sẻ tài nguyên và trao đổi thông tin nhanh chóng,Giảm chất lượng dữ liệu,Thay thế con người hoàn toàn,B,Nhận biết,Chủ đề B – Bài 1
K6B1_03,k6_b1_khai_niem_loi_ich,Mạng LAN là gì?,Mạng toàn cầu,Mạng trong phạm vi nhỏ như tòa nhà, cơ quan, trường học,Mạng di động 4G,Mạng giữa các thành phố,B,Nhận biết,Chủ đề B – Bài 1
K6B1_04,k6_b1_khai_niem_loi_ich,Dịch vụ nào là ví dụ của “trao đổi thông tin” trên mạng?,Ghi âm vào USB,Thư điện tử (email),Đổi tên tệp,Ngắt nguồn,B,Nhận biết,Chủ đề B – Bài 1
K6B1_05,k6_b1_khai_niem_loi_ich,Ví dụ “dùng chung phần cứng” là gì?,Mỗi người một máy in riêng,Chia sẻ máy in qua mạng,Mỗi người một USB,Tăng độ sáng màn hình,B,Nhận biết,Chủ đề B – Bài 1
K6B1_06,k6_b1_khai_niem_loi_ich,Internet là…,Một mạng LAN,Một ứng dụng chơi game,Mạng của các mạng kết nối toàn cầu,Một hệ điều hành,C,Nhận biết,Chủ đề B – Bài 1
K6B1_07,k6_b1_khai_niem_loi_ich,Điểm KHÁC của Internet so với một mạng đơn lẻ:,Thuộc sở hữu một công ty,Không thuộc quyền sở hữu của cá nhân hay tổ chức nào,Chỉ có ở trường học,Chỉ dùng cho email,B,Thông hiểu,Chủ đề B – Bài 1
K6B1_08,k6_b1_khai_niem_loi_ich,Vì sao nói mạng giúp “tiết kiệm chi phí”?,Do màu màn hình đẹp hơn,Do có thể dùng chung phần mềm/thiết bị và dữ liệu,Do tắt máy nhanh hơn,Do không cần bảo trì,B,Thông hiểu,Chủ đề B – Bài 1
K6B1_09,k6_b1_khai_niem_loi_ich,Chia sẻ dữ liệu “tập trung ở máy chủ” giúp gì?,Làm dữ liệu nặng hơn,Gây khó tìm kiếm,Người dùng trong mạng truy cập khi cần,Không thể sao lưu,C,Thông hiểu,Chủ đề B – Bài 1
K6B1_10,k6_b1_khai_niem_loi_ich,Vai trò điển hình của Internet trong học tập:,Chỉ giải trí,Truy cập bài giảng, tài liệu trực tuyến, dịch vụ học tập,Chỉ gửi ảnh,Chỉ đọc tin đồn,B,Thông hiểu,Chủ đề B – Bài 1
