q_id,topic_id,question_text,option_A,option_B,option_C,option_D,correct_option,difficulty,source
K8F1_01,F_Lap_trinh_truc_quan,Chương trình máy tính là gì?,Là một thiết bị phần cứng,Là một dãy các lệnh điều khiển máy tính thực hiện một thuật toán,Là màn hình hiển thị hình ảnh,Là một trò chơi điện tử,B,Nhận biết,Tin 8 – Chủ đề F – Bài 1
K8F1_02,F_Lap_trinh_truc_quan,Cấu trúc tuần tự trong chương trình nghĩa là gì?,Các lệnh được thực hiện lặp đi lặp lại,Các lệnh được thực hiện lần lượt theo thứ tự từ trên xuống dưới,Các lệnh được thực hiện ngẫu nhiên,Các lệnh được thực hiện đồng thời cùng lúc,B,Nhận biết,Tin 8 – Chủ đề F – Bài 1
K8F1_03,F_Lap_trinh_truc_quan,Trong Scratch khối lệnh nào dùng để nhân vật hiển thị một đoạn hội thoại?,Di chuyển (Move),Nói ... trong ... giây (Say ... for ... seconds),Đợi ... giây (Wait ... seconds),Khi bấm vào cờ xanh,B,Nhận biết,Tin 8 – Chủ đề F – Bài 1
K8F1_04,F_Lap_trinh_truc_quan,Khối lệnh "Đợi ... giây" (Wait) có tác dụng gì trong đoạn hội thoại?,Làm nhân vật biến mất,Làm nhân vật di chuyển nhanh hơn,Tạm dừng chương trình một khoảng thời gian để người xem kịp đọc hoặc chờ nhân vật khác nói,Tắt chương trình,C,Nhận biết,Tin 8 – Chủ đề F – Bài 1
K8F1_05,F_Lap_trinh_truc_quan,Kịch bản (Script) trong Scratch được tạo thành từ đâu?,Từ việc ghép các khối lệnh lại với nhau,Từ việc vẽ nhân vật,Từ việc thu âm,Từ việc thay đổi hình nền,A,Nhận biết,Tin 8 – Chủ đề F – Bài 1
K8F1_06,F_Lap_trinh_truc_quan,Mối quan hệ giữa Thuật toán và Chương trình là gì?,Thuật toán là ý tưởng mô tả các bước còn Chương trình là sự thể hiện của thuật toán trên máy tính,Chương trình có trước thuật toán có sau,Hai khái niệm này không liên quan gì nhau,Thuật toán chỉ dùng cho Toán học,A,Thông hiểu,Tin 8 – Chủ đề F – Bài 1
K8F1_07,F_Lap_trinh_truc_quan,Nếu em thay đổi thứ tự các khối lệnh trong một cấu trúc tuần tự kết quả sẽ như thế nào?,Kết quả không thay đổi,Máy tính sẽ báo lỗi và không chạy,Kết quả thực hiện chương trình sẽ thay đổi,Máy tính sẽ tự động sắp xếp lại cho đúng,C,Thông hiểu,Tin 8 – Chủ đề F – Bài 1
K8F1_08,F_Lap_trinh_truc_quan,Tại sao trong đoạn hội thoại giữa hai nhân vật ta cần dùng lệnh "Đợi" (Wait) xen kẽ?,Để nhân vật nghỉ ngơi,Để tránh việc hai nhân vật nói cùng một lúc chồng chéo lên nhau,Để tiết kiệm pin cho máy tính,Để tăng độ khó cho người lập trình,B,Thông hiểu,Tin 8 – Chủ đề F – Bài 1
K8F1_09,F_Lap_trinh_truc_quan,Khi mô tả thuật toán "Nhân vật Mèo đi 10 bước rồi kêu Meow". Cấu trúc nào được sử dụng?,Cấu trúc rẽ nhánh,Cấu trúc lặp,Cấu trúc tuần tự,Cấu trúc song song,C,Thông hiểu,Tin 8 – Chủ đề F – Bài 1
K8F1_10,F_Lap_trinh_truc_quan,"Để tạo đoạn hội thoại: Mèo nói ""Chào bạn"" (2s) sau đó Chó nói ""Chào Mèo"" (2s). Câu lệnh của nhân vật Chó cần có khối gì đầu tiên?",Nói ""Chào Mèo"",Đợi 2 giây (Wait 2 secs),Di chuyển 10 bước,Phát âm thanh,B,Vận dụng,Tin 8 – Chủ đề F – Bài 1
K8F1_11,F_Lap_trinh_truc_quan,"Trong đoạn kịch bản: 1. Đi 10 bước; 2. Nói ""Hello""; 3. Xoay 15 độ. Nếu đảo dòng 3 lên trước dòng 1 điều gì xảy ra?",Nhân vật sẽ xoay trước rồi mới đi và nói,Nhân vật không làm gì cả,Nhân vật vẫn đi rồi nói rồi xoay,Chương trình bị treo,A,Vận dụng,Tin 8 – Chủ đề F – Bài 1
K8F1_12,F_Lap_trinh_truc_quan,Nếu nhân vật Mèo nói trong 2 giây và nhân vật Gấu nói trong 3 giây. Để hai nhân vật nói chuyện nối tiếp nhau nhịp nhàng tổng thời gian thực hiện đoạn hội thoại ít nhất là bao nhiêu?,2 giây,3 giây,5 giây,0 giây,C,Vận dụng,Tin 8 – Chủ đề F – Bài 1
K8F2_01,F_Lap_trinh_truc_quan,Biến (Variable) trong lập trình là gì?,Là một con số cố định không bao giờ thay đổi,Là một vùng nhớ được đặt tên để lưu trữ giá trị và giá trị này có thể thay đổi,Là tên của nhân vật,Là phông nền sân khấu,B,Nhận biết,Tin 8 – Chủ đề F – Bài 2
K8F2_02,F_Lap_trinh_truc_quan,Để tạo một biến mới trong Scratch ta chọn nhóm lệnh nào?,Chuyển động (Motion),Hiển thị (Looks),Các biến số (Variables),Sự kiện (Events),C,Nhận biết,Tin 8 – Chủ đề F – Bài 2
K8F2_03,F_Lap_trinh_truc_quan,Lệnh "Đặt [biến] thành [giá trị]" (Set variable to ...) dùng để làm gì?,Tăng giá trị của biến lên 1 đơn vị,Gán một giá trị cụ thể ban đầu cho biến,Xóa biến khỏi chương trình,Hiển thị biến lên màn hình,B,Nhận biết,Tin 8 – Chủ đề F – Bài 2
