q_id,topic_id,question_text,option_A,option_B,option_C,option_D,correct_option,difficulty,source
K8A1_01,A_Lich_su_may_tinh,Chiếc máy tính cơ học Pascaline thực hiện được các phép tính nào?,Cộng trừ nhân chia,Chỉ phép cộng và trừ,Cộng trừ và lũy thừa,Chỉ phép nhân và chia,B,Nhận biết,Tin 8 – Chủ đề A – Bài 1
K8A1_02,A_Lich_su_may_tinh,Máy tính điện tử thế hệ thứ nhất (1945-1955) sử dụng công nghệ nào?,Bóng bán dẫn,Mạch tích hợp (IC),Đèn điện tử chân không,Vi xử lý mật độ cao,C,Nhận biết,Tin 8 – Chủ đề A – Bài 1
K8A1_03,A_Lich_su_may_tinh,Nguyên lí hoạt động theo chương trình (nguyên lí Von Neumann) có ý nghĩa gì quan trọng?,Giúp máy tính nhỏ gọn hơn,Đặt nền móng cho sự phát triển của máy tính điện tử,Giúp máy tính kết nối mạng,Giúp máy tính có trí tuệ nhân tạo,B,Nhận biết,Tin 8 – Chủ đề A – Bài 1
K8A1_04,A_Lich_su_may_tinh,Máy tính thế hệ thứ mấy bắt đầu sử dụng mạch tích hợp (IC)?,Thế hệ thứ nhất,Thế hệ thứ hai,Thế hệ thứ ba,Thế hệ thứ tư,C,Nhận biết,Tin 8 – Chủ đề A – Bài 1
K8A1_05,A_Lich_su_may_tinh,Đặc điểm nổi bật của máy tính thế hệ thứ năm là gì?,Sử dụng bóng bán dẫn,Kích thước rất lớn,Có khả năng xử lí song song và trí tuệ nhân tạo (AI),Chỉ dùng thẻ đục lỗ,C,Nhận biết,Tin 8 – Chủ đề A – Bài 1
K8A1_06,A_Lich_su_may_tinh,Tại sao máy tính thế hệ thứ hai nhỏ gọn và tiêu thụ ít điện năng hơn thế hệ thứ nhất?,Nhờ thay thế đèn chân không bằng bóng bán dẫn,Nhờ sử dụng mạch tích hợp IC,Nhờ sử dụng công nghệ AI,Nhờ loại bỏ màn hình hiển thị,A,Thông hiểu,Tin 8 – Chủ đề A – Bài 1
K8A1_07,A_Lich_su_may_tinh,Xu hướng phát triển chung của máy tính điện tử qua các thế hệ là gì?,Kích thước lớn dần tiêu thụ nhiều điện năng hơn,Kích thước nhỏ dần tốc độ xử lý chậm đi,Kích thước nhỏ dần tốc độ nhanh hơn độ tin cậy cao hơn,Kích thước không đổi giá thành tăng lên,C,Thông hiểu,Tin 8 – Chủ đề A – Bài 1
K8A1_08,A_Lich_su_may_tinh,Vì sao máy tính Osborne 1 (1981) được coi là một bước ngoặt trong thế hệ thứ tư?,Vì nó là siêu máy tính mạnh nhất,Vì nó là chiếc máy tính xách tay thương mại đầu tiên,Vì nó sử dụng trí tuệ nhân tạo,Vì nó sử dụng đèn điện tử chân không,B,Thông hiểu,Tin 8 – Chủ đề A – Bài 1
K8A1_09,A_Lich_su_may_tinh,Thuật ngữ "Máy vi tính" phổ biến cho các máy tính thuộc thế hệ nào và tại sao?,Thế hệ 3 vì dùng mạch IC,Thế hệ 4 vì dùng vi xử lý tích hợp mật độ cao (VLSI),Thế hệ 2 vì dùng bóng bán dẫn,Thế hệ 1 vì kích thước rất lớn,B,Thông hiểu,Tin 8 – Chủ đề A – Bài 1
K8A1_10,A_Lich_su_may_tinh,Một chiếc điện thoại thông minh hiện nay mạnh hơn siêu máy tính ENIAC (1945). Điều này minh chứng cho điều gì?,Sự phát triển vượt bậc về công nghệ phần cứng và thu nhỏ kích thước,Máy tính ngày xưa tốt hơn máy tính ngày nay,Nguyên lý Von Neumann không còn đúng nữa,Máy tính không thay đổi gì nhiều,A,Vận dụng,Tin 8 – Chủ đề A – Bài 1
