q_id,topic_id,question_text,option_A,option_B,option_C,option_D,correct_option,difficulty,source
K7D1_01,D1_Ung_xu_van_hoa_mang,Ứng xử có văn hóa khi giao tiếp qua mạng là gì,Trao đổi bằng ngôn ngữ lịch sự tôn trọng và đúng quy tắc,Viết gì cũng được vì là trên mạng,Luôn phản bác người khác cho vui,Bỏ qua mọi chuẩn mực,A.,Nhận biết,Tin 7 – Chủ đề D – Bài 1
K7D1_02,D1_Ung_xu_van_hoa_mang,Ở nơi công cộng cần chú ý điều nào,Không làm phiền giữ trật tự và tôn trọng người xung quanh,Nói to để thể hiện bản thân,Quay clip người khác rồi đăng công khai,Nghe nhạc loa ngoài,A.,Nhận biết,Tin 7 – Chủ đề D – Bài 1
K7D1_03,D1_Ung_xu_van_hoa_mang,Giữ gìn hình ảnh bản thân trên mạng nghĩa là,Đăng tải có chọn lọc và chịu trách nhiệm nội dung,Đăng mọi thứ theo cảm hứng,Chia sẻ thông tin riêng tư của bạn bè,Chỉ bình luận bằng biểu tượng,A.,Nhận biết,Tin 7 – Chủ đề D – Bài 1
K7D1_04,D1_Ung_xu_van_hoa_mang,Hành vi nào thể hiện sự tử tế trên không gian mạng,Không xúc phạm không bêu xấu người khác,Chế ảnh để trêu chọc bạn,Đăng bình luận thô lỗ,Đăng tin đồn chưa kiểm chứng,A.,Nhận biết,Tin 7 – Chủ đề D – Bài 1
K7D1_05,D1_Ung_xu_van_hoa_mang,Khi dùng email tin nhắn cần tôn trọng điều gì,Quyền riêng tư và lịch sự trả lời đúng mực,Đòi người khác phản hồi ngay,Chuyển tiếp mọi tin đã nhận,Tự ý công bố hội thoại,A.,Nhận biết,Tin 7 – Chủ đề D – Bài 1
K7D1_06,D1_Ung_xu_van_hoa_mang,Vì sao nói nội dung đưa lên mạng khó thu hồi,Nhanh lan rộng và được nhiều người sao chép lại,Dễ xóa hoàn toàn bất cứ lúc nào,Chỉ hiện với một người,Dễ biến mất sau 1 giờ,A.,Thông hiểu,Tin 7 – Chủ đề D – Bài 1
K7D1_07,D1_Ung_xu_van_hoa_mang,So với nơi công cộng các quy tắc ứng xử trên mạng,Giống về tôn trọng lịch sự chỉ khác môi trường,Hoàn toàn khác vì là trực tuyến,Không cần thiết trên mạng,Chỉ áp dụng cho người lớn,A.,Thông hiểu,Tin 7 – Chủ đề D – Bài 1
K7D1_08,D1_Ung_xu_van_hoa_mang,Thế nào là tôn trọng quyền riêng tư khi nhắn tin,Không tự ý chia sẻ nội dung trò chuyện của người khác,Chụp màn hình gửi đi cho vui,Đăng lên nhóm lớp để hỏi ý kiến,Công khai toàn bộ lịch sử chat,A.,Thông hiểu,Tin 7 – Chủ đề D – Bài 1
K7D1_09,D1_Ung_xu_van_hoa_mang,Thái độ phù hợp khi nhận tin nhắn cần thời gian xử lí,Báo đã nhận và hẹn trả lời sau nếu bận,Bỏ qua đến khi rảnh,Rời nhóm chat ngay,Chỉ thả biểu tượng cảm xúc,A.,Thông hiểu,Tin 7 – Chủ đề D – Bài 1
K7D1_10,D1_Ung_xu_van_hoa_mang,Tình huống bạn đăng ảnh nhóm có bạn chưa đồng ý Bạn nên,Xin phép bạn rồi mới đăng hoặc gỡ nếu bạn không muốn,Đăng ngay vì ảnh đẹp,Thêm bình luận trêu chọc,Gắn thẻ công khai toàn lớp,A.,Vận dụng,Tin 7 – Chủ đề D – Bài 1
K7D1_11,D1_Ung_xu_van_hoa_mang,Tình huống nhận bình luận thô lỗ dưới bài viết Cách xử lí,Giữ bình tĩnh báo cáo vi phạm và trao đổi với giáo viên khi cần,Đáp trả bằng lời lẽ nặng nề,Tag bạn bè vào công kích,Hé lộ thông tin riêng tư của họ,A.,Vận dụng,Tin 7 – Chủ đề D – Bài 1
K7D1_12,D1_Ung_xu_van_hoa_mang,Tình huống người quen nhờ chuyển tiếp cuộc trò chuyện riêng tư,Bảo vệ riêng tư không chuyển tiếp khi chưa được phép,Chuyển ngay cho cả nhóm,Gắn lên mạng xã hội,Cắt ghép rồi đăng đùa,A.,Vận dụng,Tin 7 – Chủ đề D – Bài 1
