q_id,topic_id,question_text,option_A,option_B,option_C,option_D,correct_option,difficulty,source
K9B10A_01,10A_Truc_quan_hoa,Trong công thức hàm IF(logical_test; value_if_true; value_if_false) tham số "value_if_true" có ý nghĩa gì?,Giá trị trả về nếu điều kiện sai,Giá trị trả về nếu điều kiện đúng,Điều kiện kiểm tra,Phạm vi ô tính,B,Nhận biết,Tin 9 - CTST - Bài 10A
K9B10A_02,10A_Truc_quan_hoa,Hàm nào trong Excel được sử dụng để tính tổng một dãy số?,AVERAGE,COUNT,SUM,MAX,C,Nhận biết,Tin 9 - CTST - Bài 10A
K9B10A_03,10A_Truc_quan_hoa,Loại biểu đồ nào thích hợp nhất để biểu diễn "Tỉ lệ phần trăm" của các thành phần trong một tổng thể (ví dụ: cơ cấu các khoản chi)?,Biểu đồ cột (Column Chart),Biểu đồ tròn (Pie Chart),Biểu đồ đường (Line Chart),Biểu đồ miền (Area Chart),B,Nhận biết,Tin 9 - CTST - Bài 10A
K9B10A_04,10A_Truc_quan_hoa,Loại biểu đồ nào thích hợp nhất để "So sánh" độ lớn giữa các giá trị (ví dụ: so sánh Tổng thu và Tổng chi)?,Biểu đồ cột (Column Chart),Biểu đồ tròn (Pie Chart),Biểu đồ tán xạ (Scatter),Biểu đồ Radar,A,Nhận biết,Tin 9 - CTST - Bài 10A
K9B10A_05,10A_Truc_quan_hoa,Để định dạng dữ liệu ngày tháng hiển thị đúng chuẩn (vd: dd/mm/yyyy) ta chọn Format Cells loại nào?,Number,Text,Date,General,C,Nhận biết,Tin 9 - CTST - Bài 10A
K9B10A_06,10A_Truc_quan_hoa,Để lọc dữ liệu chỉ hiển thị các giao dịch trong một khoảng thời gian nhất định (ví dụ: tháng 3) ta dùng tính năng nào?,Sort (Sắp xếp),Filter (Lọc),Consolidate,PivotTable,B,Thông hiểu,Tin 9 - CTST - Bài 10A
K9B10A_07,10A_Truc_quan_hoa,Công thức nào đúng để tính tổng các khoản chi có giá trị nhỏ hơn 500 trong vùng B2:B6?,=SUM(B2:B6; "<500"),=SUMIF(B2:B6; "<500"),=SUMIF(B2:B6; ">500"),=COUNTIF(B2:B6; "<500"),B,Thông hiểu,Tin 9 - CTST - Bài 10A
K9B10A_08,10A_Truc_quan_hoa,Công thức =COUNTIF(C1:C6; "Ăn uống") dùng để làm gì?,Tính tổng tiền ăn uống,Đếm số lần xuất hiện của khoản mục "Ăn uống",Tính trung bình tiền ăn uống,Đếm tổng số dòng trong bảng,B,Thông hiểu,Tin 9 - CTST - Bài 10A
K9B10A_09,10A_Truc_quan_hoa,Mục đích chính của việc "Trực quan hóa dữ liệu" (vẽ biểu đồ) trong dự án quản lý tài chính là gì?,Để làm đẹp báo cáo cho vui mắt,Để giúp dễ dàng quan sát nhận xét xu hướng và đánh giá tình hình tài chính (lãi/lỗ) nhanh chóng hơn so với nhìn bảng số liệu khô khan,Để giấu đi các số liệu chi tiêu sai,Để tăng dung lượng file Excel,B,Thông hiểu,Tin 9 - CTST - Bài 10A
K9B10A_10,10A_Truc_quan_hoa,Trong bảng dữ liệu giao dịch cột B chứa loại giao dịch ("Thu" hoặc "Chi"). Công thức nào đếm số lần phát sinh giao dịch "Chi"?,=COUNTIF(B2:B100; "Chi"),=SUMIF(B2:B100; "Chi"),=COUNT(B2:B100),=IF(B2:B100="Chi";1;0),A,Vận dụng,Tin 9 - CTST - Bài 10A
K9B10A_11,10A_Truc_quan_hoa,Em muốn vẽ biểu đồ thể hiện cơ cấu chi tiêu để xem khoản nào chiếm tỉ trọng lớn nhất (Ăn uống; Đi lại; Học tập...). Em cần bôi đen vùng dữ liệu nào?,Chỉ cột Số tiền,Cột Tên khoản chi và Cột Số tiền (hoặc cột Tỉ lệ %),Chỉ cột Ngày tháng,Cột Số thứ tự,B,Vận dụng,Tin 9 - CTST - Bài 10A
K9B10A_12,10A_Truc_quan_hoa,Khi quan sát biểu đồ cột so sánh: Cột "Tổng Thu" cao hơn cột "Tổng Chi". Điều này cho thấy tình hình tài chính của dự án như thế nào?,Bị lỗ (Chi vượt Thu),Cân đối (Thu bằng Chi),Có lãi/Tiết kiệm được (Thu lớn hơn Chi),Dữ liệu bị sai,C,Vận dụng,Tin 9 - CTST - Bài 10A
