q_id,topic_id,question_text,option_A,option_B,option_C,option_D,correct_option,difficulty,source
K9B14_01,14_Nhom_nghe_tin_hoc,Sản phẩm chính của nhóm nghề "Phát triển phần mềm" là gì?,Hệ thống mạng dây cáp,Các phần mềm ứng dụng trò chơi và hệ điều hành,Các thiết bị phần cứng như chuột bàn phím,Cơ sở dữ liệu thô,B,Nhận biết,Tin 9 - CTST - Bài 14
K9B14_02,14_Nhom_nghe_tin_hoc,Công việc chính của người làm nghề "Quản trị hệ thống" là gì?,Viết code tạo ra game,Thiết kế logo,Đảm bảo hệ thống máy tính và mạng hoạt động ổn định an toàn và bảo mật,Bán hàng online,C,Nhận biết,Tin 9 - CTST - Bài 14
K9B14_03,14_Nhom_nghe_tin_hoc,Nhóm nghề nào chịu trách nhiệm thiết kế, tổ chức và khai thác dữ liệu cho các hệ thống thông tin?,Phát triển phần mềm,Quản trị và thiết kế cơ sở dữ liệu,Kỹ thuật phần cứng,Bán hàng máy tính,B,Nhận biết,Tin 9 - CTST - Bài 14
K9B14_04,14_Nhom_nghe_tin_hoc,Lĩnh vực Tin học thường được chia thành hai định hướng chính nào?,Phần cứng và Phần mềm,Khoa học máy tính và Tin học ứng dụng,Lập trình và Đồ họa,Mạng và Web,B,Nhận biết,Tin 9 - CTST - Bài 14
K9B14_05,14_Nhom_nghe_tin_hoc,Quan điểm nào sau đây là ĐÚNG về giới tính trong nghề Tin học?,Nghề Tin học chỉ dành cho nam giới vì cần sức khỏe,Phụ nữ không thể làm lập trình viên giỏi,Cả nam và nữ đều có thể thành công trong nghề Tin học nếu có đam mê và kĩ năng phù hợp,Nghề Tin học không dành cho nữ giới,C,Nhận biết,Tin 9 - CTST - Bài 14
K9B14_06,14_Nhom_nghe_tin_hoc,Sự khác biệt cơ bản giữa định hướng "Khoa học máy tính" (CS) và "Tin học ứng dụng" (IT) là gì?,CS tập trung vào nghiên cứu nền tảng thuật toán và phát triển công nghệ mới còn IT tập trung sử dụng công nghệ để giải quyết vấn đề thực tế,CS lương thấp hơn IT,CS dùng máy tính cũ hơn IT,Không có gì khác biệt,A,Thông hiểu,Tin 9 - CTST - Bài 14
K9B14_07,14_Nhom_nghe_tin_hoc,Tại sao kĩ năng giao tiếp và làm việc nhóm lại quan trọng đối với một Lập trình viên (vốn hay làm việc với máy tính)?,Vì họ cần bán sản phẩm,Vì phần mềm thường do cả một đội ngũ cùng làm và cần giao tiếp để hiểu yêu cầu khách hàng,Vì họ sợ buồn,Vì máy tính yêu cầu phải nói chuyện,B,Thông hiểu,Tin 9 - CTST - Bài 14
K9B14_08,14_Nhom_nghe_tin_hoc,Trong một công ty, nếu hệ thống mạng bị sập hoặc dữ liệu bị tấn công, nhóm nghề nào sẽ đóng vai trò khắc phục chính?,Nhóm Thiết kế đồ họa,Nhóm Quản trị hệ thống và An ninh mạng,Nhóm Soạn thảo văn bản,Nhóm Kế toán,B,Thông hiểu,Tin 9 - CTST - Bài 14
K9B14_09,14_Nhom_nghe_tin_hoc,Phụ nữ thường có thế mạnh gì khi làm việc trong lĩnh vực Tin học (như Kiểm thử phần mềm, Thiết kế giao diện)?,Sức khỏe cơ bắp tốt hơn nam giới,Sự tỉ mỉ cẩn thận khả năng ngôn ngữ và tư duy thẩm mỹ tốt,Khả năng thức khuya tốt hơn,Không có thế mạnh gì,B,Thông hiểu,Tin 9 - CTST - Bài 14
K9B14_10,14_Nhom_nghe_tin_hoc,Bạn Nam rất thích mày mò lắp ráp máy tính, cài đặt hệ điều hành và sửa chữa các lỗi kết nối Wifi cho cả xóm. Bạn Nam có tiềm năng phù hợp với nhóm nghề nào nhất?,Phát triển phần mềm (Coder),Quản trị hệ thống (System Admin) hoặc Kỹ thuật viên máy tính,Thiết kế cơ sở dữ liệu,Thiết kế đồ họa,B,Vận dụng,Tin 9 - CTST - Bài 14
K9B14_11,14_Nhom_nghe_tin_hoc,Bạn Lan giỏi Toán, thích giải các bài toán đố logic và muốn tự tay tạo ra các ứng dụng trên điện thoại. Lan nên theo đuổi nhóm nghề nào?,Quản trị hệ thống,Phát triển phần mềm (Lập trình viên),Bán hàng thiết bị số,Sửa chữa máy in,B,Vận dụng,Tin 9 - CTST - Bài 14
K9B14_12,14_Nhom_nghe_tin_hoc,Một ngân hàng cần xây dựng hệ thống lưu trữ thông tin của hàng triệu khách hàng sao cho việc tra cứu số dư diễn ra nhanh nhất và không bị nhầm lẫn. Họ cần tuyển dụng chuyên gia thuộc nhóm nghề nào?,Chuyên gia Quản trị và thiết kế cơ sở dữ liệu,Chuyên gia đồ họa 3D,Chuyên gia lắp ráp phần cứng,Nhân viên trực tổng đài,A,Vận dụng,Tin 9 - CTST - Bài 14
