q_id,topic_id,question_text,option_A,option_B,option_C,option_D,correct_option,difficulty,source
K9B2_01,2_Chat_luong_thong_tin,Trong các tiêu chí đánh giá chất lượng thông tin "Tính mới" còn được gọi là gì?,Tính chính xác,Tính sử dụng được,Tính đầy đủ,Tính thời sự,D,Nhận biết,Tin 9 - CTST - Bài 2
K9B2_02,2_Chat_luong_thong_tin,Tiêu chí "Tính chính xác" của thông tin được hiểu là gì?,Thông tin phản ánh đúng sự vật hiện tượng và giống với thực tế,Thông tin dễ dàng truy cập và đọc hiểu,Thông tin bao gồm đầy đủ các khía cạnh của vấn đề,Thông tin vừa mới được cập nhật,A,Nhận biết,Tin 9 - CTST - Bài 2
K9B2_03,2_Chat_luong_thong_tin,Thông tin có "Tính đầy đủ" nghĩa là gì?,Thông tin ngắn gọn súc tích,Thông tin mô tả đầy đủ các thuộc tính và các khía cạnh cần thiết của vấn đề để hỗ trợ ra quyết định,Thông tin được trình bày đẹp mắt,Thông tin do người nổi tiếng cung cấp,B,Nhận biết,Tin 9 - CTST - Bài 2
K9B2_04,2_Chat_luong_thong_tin,Thông tin đáp ứng tiêu chí "Tính sử dụng được" là thông tin như thế nào?,Là thông tin bí mật ít người biết,Là thông tin phù hợp với trình độ hiểu biết của người sử dụng được trình bày rõ ràng và dễ tiếp cận,Là thông tin có dung lượng tệp rất lớn,Là thông tin bằng tiếng nước ngoài chưa dịch,B,Nhận biết,Tin 9 - CTST - Bài 2
K9B2_05,2_Chat_luong_thong_tin,Bốn tiêu chí cơ bản thường dùng để đánh giá chất lượng thông tin là gì?,Ngắn gọn - Rõ ràng - Đẹp - Đắt tiền,Tính mới - Tính chính xác - Tính đầy đủ - Tính sử dụng được,Nhanh - Nhiều - Tốt - Rẻ,Tính bảo mật - Tính toàn vẹn - Tính sẵn sàng - Tính xác thực,B,Nhận biết,Tin 9 - CTST - Bài 2
K9B2_06,2_Chat_luong_thong_tin,Mối quan hệ giữa "Chất lượng thông tin" và "Giải quyết vấn đề" được mô tả đúng như thế nào?,Chất lượng thông tin không ảnh hưởng gì đến giải quyết vấn đề,Thông tin chất lượng kém vẫn có thể giúp ra quyết định đúng,Thông tin chất lượng cao là cơ sở để đưa ra quyết định đúng đắn và giải quyết vấn đề hiệu quả,Chỉ cần thông tin nhiều là giải quyết được vấn đề,C,Thông hiểu,Tin 9 - CTST - Bài 2
K9B2_07,2_Chat_luong_thong_tin,Điều gì sẽ xảy ra nếu bác sĩ chẩn đoán bệnh dựa trên thông tin thiếu chính xác hoặc không đầy đủ từ bệnh nhân?,Bác sĩ sẽ chữa bệnh nhanh hơn,Bác sĩ có thể đưa ra phác đồ điều trị sai lầm gây nguy hiểm cho bệnh nhân,Bệnh nhân sẽ tự khỏi bệnh,Không ảnh hưởng gì cả,B,Thông hiểu,Tin 9 - CTST - Bài 2
K9B2_08,2_Chat_luong_thong_tin,Tại sao tài liệu hướng dẫn sử dụng thiết bị thường được viết bằng nhiều ngôn ngữ khác nhau?,Để tăng giá thành sản phẩm,Để cho đẹp,Để đảm bảo "Tính sử dụng được" giúp người dùng ở nhiều quốc gia có thể đọc và hiểu cách dùng,Để tiết kiệm giấy in,C,Thông hiểu,Tin 9 - CTST - Bài 2
K9B2_09,2_Chat_luong_thong_tin,"Bạn Thảo nhắn tin cho bố: ""Chiều nay con tan học sớm bố đến đón con nhé"". Bố đến cổng chính nhưng Thảo lại đứng ở cổng phụ. Tin nhắn của Thảo đã vi phạm tiêu chí chất lượng nào?",Tính chính xác (sai giờ),Tính mới (tin cũ),Tính đầy đủ (thiếu vị trí cụ thể),Tính sử dụng được (bố không đọc được tin),C,Vận dụng,Tin 9 - CTST - Bài 2
K9B2_10,2_Chat_luong_thong_tin,Chương trình thời sự có người phiên dịch ngôn ngữ kí hiệu ở góc màn hình nhằm phục vụ người khiếm thính. Việc làm này đảm bảo tiêu chí nào của thông tin?,Tính chính xác,Tính sử dụng được (tăng khả năng tiếp cận),Tính mới,Tính đầy đủ,B,Vận dụng,Tin 9 - CTST - Bài 2
K9B2_11,2_Chat_luong_thong_tin,Khi tìm kiếm đánh giá về một khách sạn để đi du lịch em nên tin tưởng vào nguồn thông tin nào nhất?,Lời nhận xét chung chung của một người bạn nghe kể lại,Bài đăng quảng cáo của chính khách sạn đó,Các đánh giá (review) chi tiết gần đây kèm hình ảnh thực tế của nhiều khách hàng đã từng ở đó,Một bài viết đánh giá từ 10 năm trước,C,Vận dụng,Tin 9 - CTST - Bài 2
K9B2_12,2_Chat_luong_thong_tin,Việc chuyển sách giáo khoa thành "Sách nói" (Audio book) cho học sinh khiếm thị là giải pháp nâng cao chất lượng thông tin theo tiêu chí nào?,Tính mới,Tính chính xác,Tính đầy đủ,Tính sử dụng được,D,Vận dụng,Tin 9 - CTST - Bài 2
