q_id,topic_id,question_text,option_A,option_B,option_C,option_D,correct_option,difficulty,source
K9B3_01,3_Tac_dong_cong_nghe_so,Đâu là một trong những mặt trái tiêu cực của việc sử dụng thiết bị số và Internet?,Giúp tăng năng suất lao động,Dễ dàng chia sẻ thông tin,Có nguy cơ bị nghiện Internet và trò chơi trực tuyến,Hỗ trợ học tập từ xa,C,Nhận biết,Tin 9 - CTST - Bài 3
K9B3_02,3_Tac_dong_cong_nghe_so,Khái niệm "Rác thải điện tử" (E-waste) đề cập đến điều gì?,Các email rác trong hộp thư,Các thiết bị số cũ hỏng hoặc lỗi thời bị vứt bỏ,Các phần mềm độc hại,Các tin nhắn quảng cáo trên điện thoại,B,Nhận biết,Tin 9 - CTST - Bài 3
K9B3_03,3_Tac_dong_cong_nghe_so,Hành vi nào sau đây được coi là thiếu văn hóa khi hoạt động trong môi trường số?,Gửi email có chủ đề rõ ràng,Sử dụng từ ngữ phản cảm khi bình luận trên mạng xã hội,Trích dẫn nguồn khi sử dụng thông tin,Chia sẻ bài viết bổ ích từ báo chính thống,B,Nhận biết,Tin 9 - CTST - Bài 3
K9B3_04,3_Tac_dong_cong_nghe_so,Luật Công nghệ thông tin ở Việt Nam ra đời nhằm mục đích chính là gì?,Cấm người dân sử dụng Internet,Điều chỉnh các hoạt động ứng dụng và phát triển CNTT đảm bảo quyền và lợi ích hợp pháp của tổ chức cá nhân,Bắt buộc mọi người phải mua máy tính,Khuyến khích chơi game,B,Nhận biết,Tin 9 - CTST - Bài 3
K9B3_05,3_Tac_dong_cong_nghe_so,Nghị định về quản lý, cung cấp, sử dụng dịch vụ Internet nghiêm cấm hành vi nào?,Tìm kiếm tài liệu học tập,Lợi dụng Internet để chống lại Nhà nước gây rối loạn an ninh trật tự,Mua bán hàng hóa trực tuyến,Gửi thư điện tử cho bạn bè,B,Nhận biết,Tin 9 - CTST - Bài 3
K9B3_06,3_Tac_dong_cong_nghe_so,Thói quen chạy đua mua sắm thiết bị số đời mới liên tục khi thiết bị cũ vẫn dùng tốt gây ra hậu quả gì?,Giúp bảo vệ môi trường,Gây lãng phí tiền bạc và gia tăng lượng rác thải điện tử độc hại,Giúp người dùng tiết kiệm tiền,Không gây ảnh hưởng gì,B,Thông hiểu,Tin 9 - CTST - Bài 3
K9B3_07,3_Tac_dong_cong_nghe_so,Tại sao khi sử dụng tài khoản ảo (ẩn danh) trên mạng xã hội, một số người lại có xu hướng phát ngôn thiếu văn hóa hoặc hung hăng hơn?,Vì họ nghĩ rằng không ai biết mình là ai nên không phải chịu trách nhiệm,Vì mạng xã hội yêu cầu như vậy,Vì họ muốn nổi tiếng,Vì máy tính tự động viết ra,A,Thông hiểu,Tin 9 - CTST - Bài 3
K9B3_08,3_Tac_dong_cong_nghe_so,Việc dành quá nhiều thời gian cho thế giới ảo (nghiện Internet) ảnh hưởng thế nào đến sức khỏe tâm thần?,Giúp tinh thần sảng khoái hơn,Gây căng thẳng lo âu trầm cảm và giảm khả năng giao tiếp thực tế,Giúp ngủ ngon hơn,Tăng cường trí nhớ,B,Thông hiểu,Tin 9 - CTST - Bài 3
K9B3_09,3_Tac_dong_cong_nghe_so,Tác động của công nghệ số đến vấn đề việc làm là gì?,Đảm bảo ai cũng có việc làm trọn đời,Tạo ra nhiều việc làm mới nhưng cũng khiến nhiều nghề truyền thống bị thay thế (nguy cơ thất nghiệp nếu không cập nhật kĩ năng),Không có tác động gì,Chỉ làm giảm việc làm chân tay,B,Thông hiểu,Tin 9 - CTST - Bài 3
K9B3_10,3_Tac_dong_cong_nghe_so,Em vô tình thấy một bài đăng trên Facebook bôi nhọ danh dự của một bạn cùng lớp. Em nên làm gì?,Tham gia bình luận chê bai cho vui,Chia sẻ bài viết đó để nhiều người biết,Báo cáo (Report) bài viết vi phạm và động viên bạn bị bắt nạt,Im lặng coi như không biết,C,Vận dụng,Tin 9 - CTST - Bài 3
K9B3_11,3_Tac_dong_cong_nghe_so,Khi nhận được một tin tức "giật gân" trên mạng xã hội nhưng chưa được kiểm chứng (ví dụ: tin về dịch bệnh lạ), hành động có trách nhiệm nhất là gì?,Chia sẻ ngay lập tức cho mọi người cảnh giác,Kiểm tra lại thông tin trên các trang báo chính thống trước khi tin hoặc chia sẻ,Sao chép và đăng lại trên tường nhà mình,Bình luận hỏi người đăng xem có thật không rồi tin luôn,B,Vận dụng,Tin 9 - CTST - Bài 3
K9B3_12,3_Tac_dong_cong_nghe_so,Nhóm của em đang làm video dự thi cho trường. Một bạn đề xuất lấy một bài nhạc hot trên mạng để lồng vào video mà không cần xin phép tác giả. Em sẽ xử lí thế nào?,Đồng ý ngay vì nhạc hay video mới hấp dẫn,Khuyên bạn không nên dùng hoặc phải tìm nhạc miễn phí bản quyền/xin phép tác giả để tránh vi phạm Luật sở hữu trí tuệ,Cứ dùng đại nếu bị phát hiện thì gỡ sau,Dùng phần mềm chỉnh sửa để lách luật,B,Vận dụng,Tin 9 - CTST - Bài 3
