q_id,topic_id,question_text,option_A,option_B,option_C,option_D,correct_option,difficulty,source
K9B12_01,12_Bai_toan_trong_tin_hoc,Trong Tin học "Đầu vào" (Input) của một bài toán là gì?,Kết quả cuối cùng nhận được,Dữ liệu ban đầu đưa vào máy tính để xử lý,Các câu lệnh lập trình,Màn hình máy tính,B,Nhận biết,Tin 9 - CTST - Bài 12
K9B12_02,12_Bai_toan_trong_tin_hoc,Trong bài toán "Tính chỉ số BMI" thông tin nào sau đây là Đầu vào?,Chỉ số BMI,Lời khuyên sức khỏe,Chiều cao và Cân nặng,Tên bác sĩ,C,Nhận biết,Tin 9 - CTST - Bài 12
K9B12_03,12_Bai_toan_trong_tin_hoc,Mô tả thuật toán là công việc gì?,Là viết một bài văn miêu tả máy tính,Là liệt kê các thao tác hoặc vẽ sơ đồ chỉ dẫn chi tiết các bước để máy tính giải quyết bài toán,Là lắp ráp các linh kiện máy tính,Là tính toán nhẩm trong đầu,B,Nhận biết,Tin 9 - CTST - Bài 12
K9B12_04,12_Bai_toan_trong_tin_hoc,Yếu tố nào quan trọng nhất quyết định cách giải quyết một bài toán trên máy tính?,Màu sắc của máy tính,Hệ điều hành đang dùng,Thuật toán,Giá tiền của bàn phím,C,Nhận biết,Tin 9 - CTST - Bài 12
K9B12_05,12_Bai_toan_trong_tin_hoc,Mục đích chính của việc mô tả thuật toán rõ ràng là gì?,Để máy tính hiểu và thực hiện đúng nhiệm vụ,Để làm bài toán trở nên phức tạp hơn,Để trang trí cho đẹp,Để kiểm tra lỗi chính tả,A,Nhận biết,Tin 9 - CTST - Bài 12
K9B12_06,12_Bai_toan_trong_tin_hoc,Trong bài toán "Tìm ước chung lớn nhất (ƯCLN) của hai số a và b" đâu là Đầu ra (Output)?,Hai số a và b,Tất cả các ước số của a,Giá trị ƯCLN của a và b,Tổng của a và b,C,Thông hiểu,Tin 9 - CTST - Bài 12
K9B12_07,12_Bai_toan_trong_tin_hoc,Tại sao máy tính có thể giải quyết các bài toán phức tạp tốt hơn con người?,Vì máy tính thông minh hơn con người về cảm xúc,Vì máy tính có tốc độ xử lý nhanh độ chính xác cao và khả năng lưu trữ lớn,Vì máy tính biết tự suy nghĩ,Vì máy tính không bao giờ hỏng,B,Thông hiểu,Tin 9 - CTST - Bài 12
K9B12_08,12_Bai_toan_trong_tin_hoc,Bài toán nào sau đây KHÔNG phải là một dạng bài toán điển hình thường gặp trong Tin học?,Bài toán sắp xếp dãy số,Bài toán tìm kiếm thông tin,Bài toán chứng minh định lý hình học (về mặt tư duy trừu tượng thuần túy),Bài toán quản lý điểm số,C,Thông hiểu,Tin 9 - CTST - Bài 12
K9B12_09,12_Bai_toan_trong_tin_hoc,Việc xác định rõ Input và Output giúp ích gì cho người lập trình?,Giúp họ không cần viết mã lệnh,Giúp xác định rõ phạm vi bài toán và hướng đi để xây dựng thuật toán đúng,Giúp máy tính chạy nhanh hơn gấp đôi,Không giúp ích gì,B,Thông hiểu,Tin 9 - CTST - Bài 12
K9B12_10,12_Bai_toan_trong_tin_hoc,Khi vẽ sơ đồ khối (Flowchart) cho bài toán tính BMI bước đầu tiên cần thực hiện là gì?,Tính BMI = Cân nặng / (Chiều cao x Chiều cao),In kết quả ra màn hình,Nhập Chiều cao và Cân nặng,Kiểm tra xem BMI có lớn hơn 25 không,C,Vận dụng,Tin 9 - CTST - Bài 12
K9B12_11,12_Bai_toan_trong_tin_hoc,Thuật toán tính BMI có kiểm tra điều kiện (ví dụ: Nếu BMI < 18.5 thì "Gầy"). Thuật toán này sử dụng cấu trúc điều khiển nào?,Chỉ có cấu trúc tuần tự,Kết hợp cấu trúc tuần tự và cấu trúc rẽ nhánh,Chỉ có cấu trúc lặp,Không có cấu trúc nào,B,Vận dụng,Tin 9 - CTST - Bài 12
K9B12_12,12_Bai_toan_trong_tin_hoc,Nếu muốn mở rộng bài toán từ "Tính BMI cho 1 người" thành "Tính BMI cho toàn bộ học sinh trong lớp" ta cần bổ sung cấu trúc nào vào thuật toán?,Cấu trúc Lặp (Loop),Cấu trúc Rẽ nhánh (If-else),Cấu trúc Tuần tự (Sequential),Không cần thêm gì cả,A,Vận dụng,Tin 9 - CTST - Bài 12
