q_id,topic_id,question_text,option_A,option_B,option_C,option_D,correct_option,difficulty,source
K9B5_01,5_Trinh_bay_thong_tin,Phương tiện nào sau đây phù hợp nhất để thể hiện diễn biến của một sự việc hoặc hiện tượng (có chuyển động)?,Văn bản thuần túy,Hình ảnh tĩnh,Video (Phim),Biểu đồ,C,Nhận biết,Tin 9 - CTST - Bài 5
K9B5_02,5_Trinh_bay_thong_tin,Biểu đồ thường được sử dụng để làm gì trong trình bày thông tin?,Để giải trí cho đẹp mắt,Để thể hiện trực quan mối tương quan và so sánh giữa các dữ liệu,Để soạn thảo văn bản hành chính,Để chỉnh sửa ảnh nghệ thuật,B,Nhận biết,Tin 9 - CTST - Bài 5
K9B5_03,5_Trinh_bay_thong_tin,Khi sử dụng phần mềm sơ đồ tư duy (như MindMaple) ta có thể đính kèm những loại dữ liệu nào vào các nhánh?,Chỉ đính kèm được văn bản,Chỉ đính kèm được hình ảnh,Có thể đính kèm văn bản hình ảnh video và cả trang tính,Không thể đính kèm gì cả,C,Nhận biết,Tin 9 - CTST - Bài 5
K9B5_04,5_Trinh_bay_thong_tin,Yêu cầu cơ bản khi sử dụng hình ảnh, biểu đồ, video trong bài trình chiếu là gì?,Càng nhiều càng tốt không cần liên quan nội dung,Phù hợp nội dung; rõ nét; đảm bảo tính thẩm mĩ và tính pháp lí (bản quyền),Chỉ cần đẹp là được không quan trọng bản quyền,Phải sử dụng hình ảnh đen trắng,B,Nhận biết,Tin 9 - CTST - Bài 5
K9B5_05,5_Trinh_bay_thong_tin,Lợi ích của việc kết hợp "Chữ và Hình ảnh" trong trao đổi thông tin là gì?,Làm người xem bị rối mắt,Giúp thông tin rõ ràng sinh động và thu hút sự chú ý hơn so với chỉ dùng văn bản,Tốn mực in hơn,Làm giảm dung lượng tệp tin,B,Nhận biết,Tin 9 - CTST - Bài 5
K9B5_06,5_Trinh_bay_thong_tin,Tại sao khi trình bày về "Sự thay đổi nhiệt độ trung bình các tháng trong năm" ta nên dùng Biểu đồ thay vì bảng số liệu?,Vì biểu đồ giúp người xem nhanh chóng nhận ra xu hướng tăng/giảm một cách trực quan,Vì bảng số liệu thường sai,Vì biểu đồ chiếm ít chỗ hơn,Vì máy tính chỉ vẽ được biểu đồ,A,Thông hiểu,Tin 9 - CTST - Bài 5
K9B5_07,5_Trinh_bay_thong_tin,Việc đính kèm tệp tài liệu (File attachment) vào sơ đồ tư duy có tác dụng gì trong làm việc nhóm?,Làm sơ đồ tư duy trở nên rườm rà khó hiểu,Giúp quản lý tài liệu tập trung dễ dàng truy cập chi tiết mà không làm rối cấu trúc chính của sơ đồ,Giúp tăng dung lượng ổ cứng,Để giấu tài liệu không cho ai biết,B,Thông hiểu,Tin 9 - CTST - Bài 5
K9B5_08,5_Trinh_bay_thong_tin,Nếu sử dụng hình ảnh có chứa thông tin cá nhân của người khác vào bài trình chiếu em cần lưu ý điều gì về mặt đạo đức/pháp luật?,Cứ dùng thoải mái không cần hỏi,Phải xin phép và được sự đồng ý của người đó trước khi sử dụng,Chỉ cần làm mờ mặt là được,Phải trả tiền cho người đó,B,Thông hiểu,Tin 9 - CTST - Bài 5
K9B5_09,5_Trinh_bay_thong_tin,Video khác biệt gì so với Hình ảnh tĩnh trong việc truyền tải thông tin?,Video có dung lượng nhẹ hơn ảnh,Video tích hợp cả âm thanh và hình ảnh động giúp tác động mạnh đến nhiều giác quan của người xem,Video khó hiểu hơn ảnh,Video không thể copy được,B,Thông hiểu,Tin 9 - CTST - Bài 5
K9B5_10,5_Trinh_bay_thong_tin,Để minh họa cho "Một bàn thắng đẹp mắt trong trận chung kết bóng đá" trong bài thuyết trình em nên chọn phương tiện nào là hiệu quả nhất?,Văn bản mô tả lại bàn thắng,Một tấm ảnh chụp quả bóng,Một đoạn Video quay lại tình huống ghi bàn,Một biểu đồ thống kê số bàn thắng,C,Vận dụng,Tin 9 - CTST - Bài 5
K9B5_11,5_Trinh_bay_thong_tin,Nhóm em đang làm dự án tìm hiểu về "Ô nhiễm môi trường". Để so sánh tỉ lệ rác thải nhựa so với các loại rác khác em nên dùng dạng biểu diễn nào?,Biểu đồ hình tròn hoặc biểu đồ cột,Video ca nhạc,Hình ảnh chụp bãi rác,Văn bản kể chuyện,A,Vận dụng,Tin 9 - CTST - Bài 5
K9B5_12,5_Trinh_bay_thong_tin,Khi làm việc nhóm bằng sơ đồ tư duy để tóm tắt bài học nhóm trưởng muốn các thành viên bổ sung nội dung chi tiết mà không làm sơ đồ bị "phình" to quá mức. Giải pháp là gì?,Yêu cầu các bạn viết chữ thật nhỏ,Yêu cầu các bạn soạn thảo nội dung ra file Word/Excel riêng rồi dùng chức năng "Đính kèm tệp" (Attachment) vào nhánh tương ứng,Bỏ bớt nội dung đi,Vẽ sơ đồ ra giấy khổ lớn,B,Vận dụng,Tin 9 - CTST - Bài 5
