q_id,topic_id,question_text,option_A,option_B,option_C,option_D,correct_option,difficulty,source
K9B11_01,11_Giai_quyet_van_de,Quá trình giải quyết vấn đề tổng quát thường bao gồm bao nhiêu bước?,3 bước,4 bước,5 bước,6 bước,C,Nhận biết,Tin 9 - CTST - Bài 11
K9B11_02,11_Giai_quyet_van_de,Bước đầu tiên và quan trọng nhất để bắt đầu giải quyết một vấn đề là gì?,Xây dựng giải pháp,Xác định vấn đề (Hiểu rõ vấn đề),Thực hiện giải pháp,Đánh giá kết quả,B,Nhận biết,Tin 9 - CTST - Bài 11
K9B11_03,11_Giai_quyet_van_de,Trong quy trình giải quyết vấn đề, bước "Đánh giá kết quả" diễn ra khi nào?,Ngay sau khi xác định vấn đề,Trước khi thực hiện giải pháp,Sau khi đã thực hiện giải pháp để kiểm tra hiệu quả,Bất cứ lúc nào,C,Nhận biết,Tin 9 - CTST - Bài 11
K9B11_04,11_Giai_quyet_van_de,Máy tính có thể hỗ trợ con người tốt nhất trong giai đoạn nào của quá trình giải quyết vấn đề?,Xác định cảm xúc của con người,Thực hiện các tính toán phức tạp xử lý dữ liệu lớn và lặp đi lặp lại theo thuật toán,Chịu trách nhiệm hoàn toàn về quyết định cuối cùng,Đề xuất ý tưởng sáng tạo nghệ thuật,B,Nhận biết,Tin 9 - CTST - Bài 11
K9B11_05,11_Giai_quyet_van_de,Thuật toán là gì trong bối cảnh giải quyết vấn đề với máy tính?,Là một bức tranh vẽ máy tính,Là dãy các chỉ dẫn từng bước rõ ràng để máy tính thực hiện nhiệm vụ,Là phần cứng của máy tính,Là kết quả cuối cùng,B,Nhận biết,Tin 9 - CTST - Bài 11
K9B11_06,11_Giai_quyet_van_de,Tại sao trong bài toán "Quản lý thư viện" ta nên giao cho máy tính việc tra cứu sách?,Vì máy tính tra cứu chậm hơn con người,Vì máy tính có khả năng lưu trữ lớn tìm kiếm cực nhanh và chính xác vị trí sách,Vì con người lười biếng,Vì máy tính cần được nghỉ ngơi,B,Thông hiểu,Tin 9 - CTST - Bài 11
K9B11_07,11_Giai_quyet_van_de,Trong bài toán đánh giá tình trạng dinh dưỡng học sinh, chỉ số BMI được tính nhằm mục đích gì?,Để biết học sinh cao bao nhiêu,Để đánh giá học sinh đó gầy, bình thường hay thừa cân dựa trên tỉ lệ chiều cao và cân nặng,Để xếp loại học lực,Để tính tuổi học sinh,B,Thông hiểu,Tin 9 - CTST - Bài 11
K9B11_08,11_Giai_quyet_van_de,Việc chia nhỏ một vấn đề lớn thành các bài toán con (module) có tác dụng gì?,Làm vấn đề trở nên phức tạp hơn,Giúp việc giải quyết trở nên dễ dàng hơn kiểm soát lỗi tốt hơn và có thể phân công cho máy tính từng phần,Tốn nhiều thời gian hơn,Không có tác dụng gì,B,Thông hiểu,Tin 9 - CTST - Bài 11
K9B11_09,11_Giai_quyet_van_de,Nếu kết quả ở bước "Đánh giá" cho thấy giải pháp chưa hiệu quả (vấn đề chưa được giải quyết), ta nên làm gì?,Bỏ cuộc không làm nữa,Quay lại các bước trước (Xác định nguyên nhân/Giải pháp) để điều chỉnh và thử nghiệm lại,Cố tình báo cáo sai kết quả,Đổ lỗi cho máy tính,B,Thông hiểu,Tin 9 - CTST - Bài 11
K9B11_10,11_Giai_quyet_van_de,Cho thuật toán tính BMI: "Nhập Chiều cao (m) và Cân nặng (kg) -> BMI = Cân nặng / (Chiều cao * Chiều cao)". Nếu một học sinh nặng 50kg, cao 1.50m. Chỉ số BMI là bao nhiêu?,22.22,33.33,25.0,18.5,A,Vận dụng,Tin 9 - CTST - Bài 11
K9B11_11,11_Giai_quyet_van_de,Với chỉ số BMI bình thường trong khoảng 18.5 đến 24.9. Học sinh có BMI = 22.22 (ở câu trên) sẽ nhận được kết luận gì từ chương trình tư vấn?,Cần tư vấn dinh dưỡng gấp,Thừa cân béo phì,Thể trạng Bình thường (Không cần tư vấn),Suy dinh dưỡng,C,Vận dụng,Tin 9 - CTST - Bài 11
K9B11_12,11_Giai_quyet_van_de,Trong thuật toán tìm giá trị lớn nhất (Max) của một dãy số, bước đầu tiên hợp lý nhất là gì?,Gán giá trị Max bằng 0,Gán giá trị Max bằng giá trị của phần tử đầu tiên trong dãy,Sắp xếp dãy số giảm dần,Xóa hết các số trong dãy,B,Vận dụng,Tin 9 - CTST - Bài 11
